Sl Number,Page Object ,Real Name,Object Type,Object
1,CustomMetaDataPage,QuickSearch,xpath,//*[@id='setupSearch']
2,CustomMetaDataPage,LightingAppBuilder,xpath,//*[text()='Lightning App Builder']
3,CustomMetaDataPage,ScrollWizard,xpath,//*[text()='$$$Value$$$']
4,CustomMetaDataPage,SelectWizard,xpath,//*[text()='$$$Value$$$']
5,CustomMetaDataPage,ClickOnEdit,xpath,//*[@title='Edit'][1]
6,CustomMetaDataPage,ComponentQuickSearch,xpath,//*[@id='244:0']
7,CustomMetaDataPage,SelectComponent,xpath,//*[@class='flexipageEditorContainerPlaceholder'][1]
8,CustomMetaDataPage,SelectFlexiEditor,xpath,//*[@title='Surface']
9,CustomMetaDataPage,ClickToComponent,xpath,//*[text()='ManageExpertCompensation']
10,CustomMetaDataPage,SearchCustom,xpath,//*[text()='Custom']
11,CustomMetaDataPage,SwitchToMain,xpath,//*[@class='leftPanel column hideInReadOnlyMode visualEditorBaseEditorPanel flexipageEditorLeftPanel']
12,CustomMetaDataPage,StepName,xpath,//div[@class='uiInput uiInputText uiInput--default uiInput--input has-error']//input[@class=' input']
13,CustomMetaDataPage,SaveButton,xpath,//*[@class='slds-button slds-button_brand save hideInReadOnlyMode']
14,CustomMetaDataPage,BackButton,xpath,//*[@class='slds-button__icon slds-icon-utility-back slds-icon_container forceIcon']
15,CustomMetaDataPage,AllTabs,xpath,//*[@title='All Tabs']
16,CustomMetaDataPage,UserFlowManagement,xpath,//*[@title='$$$Value$$$']
17,CustomMetaDataPage,PublishNewLightningPage,xpath,//*[text()='+ Publish New Lightning Page']
18,CustomMetaDataPage,ClickOnDropDown,xpath,//*[@name='j_id0:modalForm:j_id36']
19,CustomMetaDataPage,SelectLightingPage,xpath,//*[@name='j_id0:modalForm:j_id36']//*[text()='A_CSLT_Initiate_Wizard']
20,CustomMetaDataPage,ClickOnPublish,xpath,//*[@id='j_id0:modalForm:saveMetadataNew']
21,CustomMetaDataPage,PublishSuccess,xpath,"//*[@class='slds-box slds-theme_shade slds-m-bottom_medium']//div[contains(text(),'Publish succeeded.')]"
22,CustomMetaDataPage,CustomMetaData,xpath,//*[text()='Custom Metadata Types']
23,CustomMetaDataPage,ManageScreenConfig,xpath,//*[@title= 'Manage Screen Configurations']
24,CustomMetaDataPage,FieldState,xpath,//*[@id='00N4100000Y6O12']
25,CustomMetaDataPage,ClickOnSave,xpath,//*[@title='$$$Value$$$']
"-EOF-				",,,,
