Sl Number,Page Object ,Real Name,Object Type,Object
1,LightingAppBuilder,QuickSearch,xpath,//*[@id='setupSearch']
2,LightingAppBuilder,LightingAppBuilder,xpath,//*[text()='Lightning App Builder']
3,LightingAppBuilder,ScrollWizard,xpath,//*[text()='$$$Value$$$']
4,LightingAppBuilder,SelectWizard,xpath,//*[text()='$$$Value$$$']
5,LightingAppBuilder,ClickOnEdit,xpath,//*[@title='Edit'][1]
6,LightingAppBuilder,ComponentQuickSearch,xpath,//*[@id='244:0']
7,LightingAppBuilder,SelectComponent,xpath,//*[@class='flexipageEditorContainerPlaceholder'][1]
8,LightingAppBuilder,SelectFlexiEditor,xpath,//*[@title='Surface']
9,LightingAppBuilder,ClickToComponent,xpath,//*[text()='ManageExpertCompensation']
10,LightingAppBuilder,SearchCustom,xpath,//*[text()='Custom']
11,LightingAppBuilder,SwitchToMain,xpath,//*[@class='leftPanel column hideInReadOnlyMode visualEditorBaseEditorPanel flexipageEditorLeftPanel']
12,LightingAppBuilder,StepName,xpath,//div[@class='uiInput uiInputText uiInput--default uiInput--input has-error']//input[@class=' input']
13,LightingAppBuilder,SaveButton,xpath,//*[@class='slds-button slds-button_brand save hideInReadOnlyMode']
14,LightingAppBuilder,BackButton,xpath,//*[@class='slds-button__icon slds-icon-utility-back slds-icon_container forceIcon']
15,LightingAppBuilder,AllTabs,xpath,//*[@title='All Tabs']
16,LightingAppBuilder,UserFlowManagement,xpath,//*[@title='$$$Value$$$']
17,LightingAppBuilder,PublishNewLightningPage,xpath,//*[text()='+ Publish New Lightning Page']
18,LightingAppBuilder,ClickOnDropDown,xpath,//*[@name='j_id0:modalForm:j_id36']
19,LightingAppBuilder,SelectLightingPage,xpath,//*[@name='j_id0:modalForm:j_id36']//*[text()='A_CSLT_Initiate_Wizard']
20,LightingAppBuilder,ClickOnPublish,xpath,//*[@id='j_id0:modalForm:saveMetadataNew']
21,LightingAppBuilder,PublishSuccess,xpath,"//*[@class='slds-box slds-theme_shade slds-m-bottom_medium']//div[contains(text(),'Publish succeeded.')]"
22,LightingAppBuilder,CustomMetaData,xpath,//*[text()='Custom Metadata Types']
23,LightingAppBuilder,ManageScreenConfig,xpath,//*[@title= 'Manage Screen Configurations']
24,LightingAppBuilder,FieldState,xpath,//*[@id='00N4100000Y6O12']
25,LightingAppBuilder,ClickOnSave,xpath,//*[@title='$$$Value$$$']
"-EOF-				",,,,
