Sl Number,Page Object ,Real Name,Object Type,Object
1,OpportunityPage,OpportunitiesTab,css,"a[title=""Opportunities""]"
2,OpportunityPage,NewButtonInOpportunitiesPage,css,"[class=""forceActionLink""][title=""New""]"
3,OpportunityPage,NextButtonInCreateNewOpportunities,xpath,"(//button[@type=""button""]//span[@class="" label bBody""])[text()='Next']"
4,OpportunityPage,OpportunityName,xpath,"//*[@class=""uiInput uiInputText uiInput--default uiInput--input""]/label/span[text()='Opportunity Name']/parent::label/following-sibling::input"
5,OpportunityPage,SaveButton,css,"button[type=""button""][title=""Save""]>span"
6,OpportunityPage,StageDropDown,xpath,"//*[@class=""label inputLabel uiPicklistLabel-left form-element__label uiPicklistLabel""]/span[text()='Stage']/parent::*/following-sibling::*"
7,OpportunityPage,StageDropDownValues,xpath,"//a[contains(text(),'$$$Stage$$$')]"
8,OpportunityPage,CloseDate,xpath,"(//*[@class=""uiInput uiInputDate uiInput--default uiInput--input uiInput--datetime""])/div[@class=""form-element""]/input[@class="" input""]"
9,OpportunityPage,OpportunityNameInOpportunityDetailPage,xpath,"//span[contains(@class,'test-id__field-value slds-form-element__static slds-grow')]//span[contains(@class,'uiOutputText')]"
10,OpportunityPage,SalesDivisionDropDown,xpath,"//*[@class=""label inputLabel uiPicklistLabel-left form-element__label uiPicklistLabel""]/span[text()='Sales Division']/parent::*/following-sibling::*"
11,OpportunityPage,SalesDivisionDropDownValues,xpath,"//*[@class=""select-options popupTargetContainer uiPopupTarget uiMenuList uiMenuList--default uiMenuList--left uiMenuList--short visible""]//*[@class=""select-options""]/ul/li[@class=""uiMenuItem uiRadioMenuItem""]/a[text()='$$$SalesDivision$$$']"
12,OpportunityPage,SalesChannelDropDown,xpath,"//*[@class=""label inputLabel uiPicklistLabel-left form-element__label uiPicklistLabel""]/span[text()='Sales Channel']/parent::*/following-sibling::*"
13,OpportunityPage,SalesChannelDropDownValues,xpath,"//*[@class=""select-options popupTargetContainer uiPopupTarget uiMenuList uiMenuList--default uiMenuList--left uiMenuList--short visible positioned""]//*[@class=""select-options""]/ul/li[@class=""uiMenuItem uiRadioMenuItem""]/a[text()='$$$SalesChannel$$$']"
14,OpportunityPage,ChooseTheCustomerType,css,"[title=""Move selection to Chosen""]>lightning-primitive-icon"
15,OpportunityPage,CustomerTypeInOpportunity,xpath,"//*[@class=""slds-dueling-list__options""]//*[@class=""slds-listbox slds-listbox_vertical""]//li[@class=""slds-listbox__item""]//div//span[text()='$$$CustomerType$$$']"
16,OpportunityPage,OpportunitiesAccountNameTextBox,css,"[class="" default input uiInput uiInputTextForAutocomplete uiInput--default uiInput--input uiInput uiAutocomplete uiInput--default uiInput--lookup""][title=""Search Accounts""]"
17,OpportunityPage,OpportunitiesAccountName,css,"[class=""listContent""]>[class=""lookup__list  visible""]>[class=""lookup__item  default uiAutocompleteOption forceSearchInputLookupDesktopOption""]>a>[class=""slds-m-left--smalllabels slds-truncate slds-media__body""]>[title=""$$$AccName$$$""]"
18,OpportunityPage,DetailsTab,xpath,"//span[contains(@class,'title')][contains(text(),'Details')]"
19,OpportunityPage,ToggleButton,xpath,"//button[contains(@class,'slds-button pa-drawer-toggle toggleButton slds-button slds-button_icon slds-button_icon-border-filled slds-path__trigger uiButton')]//*[contains(@class,'slds-icon slds-icon_xx-small')]"
-EOF-,,,,
