Sl Number,Page Object ,Real Name,Object Type,Object
1,SetupPage,QuickSearch,id,//*[@id='setupSearch']
2,SetupPage,LightingAppBuilder,xpath,//*[text()='Lightning App Builder']
3,SetupPage,ScrollWizard,xpath,//*[text()='$$$Value$$$']
4,SetupPage,SelectWizard,xpath,//*[text()='$$$Value$$$']
5,SetupPage,ClickOnEdit,xpath,//*[@title='Edit'][1]
6,SetupPage,ComponentQuickSearch,xpath,//*[@id='244:0']
7,SetupPage,SelectComponent,xpath,//*[@class='flexipageEditorContainerPlaceholder'][1]
8,SetupPage,SelectFlexiEditor,xpath,//*[@title='Surface']
9,SetupPage,ClickToComponent,xpath,//*[text()='ManageExpertCompensation']
10,SetupPage,SearchCustom,xpath,//*[text()='Custom']
11,SetupPage,SwitchToMain,xpath,//*[@class='leftPanel column hideInReadOnlyMode visualEditorBaseEditorPanel flexipageEditorLeftPanel']
12,SetupPage,StepName,xpath,//div[@class='uiInput uiInputText uiInput--default uiInput--input has-error']//input[@class=' input']
13,SetupPage,SaveButton,xpath,//*[@class='slds-button slds-button_brand save hideInReadOnlyMode']
14,SetupPage,BackButton,xpath,//*[@class='slds-button__icon slds-icon-utility-back slds-icon_container forceIcon']
15,SetupPage,AllTabs,xpath,//*[@title='All Tabs']
16,SetupPage,UserFlowManagement,xpath,//*[@title='$$$Value$$$']
17,SetupPage,PublishNewLightningPage,xpath,//*[text()='+ Publish New Lightning Page']
18,SetupPage,ClickOnDropDown,xpath,//*[@name='j_id0:modalForm:j_id36']
19,SetupPage,SelectLightingPage,xpath,//*[@name='j_id0:modalForm:j_id36']//*[text()='A_CSLT_Initiate_Wizard']
20,SetupPage,ClickOnPublish,xpath,//*[@id='j_id0:modalForm:saveMetadataNew']
21,SetupPage,PublishSuccess,xpath,"//*[@class='slds-box slds-theme_shade slds-m-bottom_medium']//div[contains(text(),'Publish succeeded.')]"
22,SetupPage,CustomMetaData,xpath,//*[text()='Custom Metadata Types']
23,SetupPage,ManageScreenConfig,xpath,//*[@title= 'Manage Screen Configurations']
24,SetupPage,FieldState,xpath,//*[@id='00N4100000Y6O12']
25,SetupPage,ClickOnSave,xpath,//*[@title='$$$Value$$$']
"-EOF-				",,,,
