Sl Number,Page Object ,Real Name,Object Type,Object
1,UserFlowManagement,QuickSearch,xpath,//*[@id='setupSearch']
2,UserFlowManagement,LightingAppBuilder,xpath,//*[text()='Lightning App Builder']
3,UserFlowManagement,ScrollWizard,xpath,//*[text()='$$$Value$$$']
4,UserFlowManagement,SelectWizard,xpath,//*[text()='$$$Value$$$']
5,UserFlowManagement,ClickOnEdit,xpath,//*[@title='Edit'][1]
6,UserFlowManagement,ComponentQuickSearch,xpath,//*[@id='244:0']
7,UserFlowManagement,SelectComponent,xpath,//*[@class='flexipageEditorContainerPlaceholder'][1]
8,UserFlowManagement,SelectFlexiEditor,xpath,//*[@title='Surface']
9,UserFlowManagement,ClickToComponent,xpath,//*[text()='ManageExpertCompensation']
10,UserFlowManagement,SearchCustom,xpath,//*[text()='Custom']
11,UserFlowManagement,SwitchToMain,xpath,//*[@class='leftPanel column hideInReadOnlyMode visualEditorBaseEditorPanel flexipageEditorLeftPanel']
12,UserFlowManagement,StepName,xpath,//div[@class='uiInput uiInputText uiInput--default uiInput--input has-error']//input[@class=' input']
13,UserFlowManagement,SaveButton,xpath,//*[@class='slds-button slds-button_brand save hideInReadOnlyMode']
14,UserFlowManagement,BackButton,xpath,//*[@class='slds-button__icon slds-icon-utility-back slds-icon_container forceIcon']
15,UserFlowManagement,AllTabs,xpath,//*[@title='All Tabs']
16,UserFlowManagement,UserFlowManagement,xpath,//*[@title='$$$Value$$$']
17,UserFlowManagement,PublishNewLightningPage,xpath,//*[text()='+ Publish New Lightning Page']
18,UserFlowManagement,ClickOnDropDown,xpath,//*[@name='j_id0:modalForm:j_id36']
19,UserFlowManagement,SelectLightingPage,xpath,//*[@name='j_id0:modalForm:j_id36']//*[text()='A_CSLT_Initiate_Wizard']
20,UserFlowManagement,ClickOnPublish,xpath,//*[@id='j_id0:modalForm:saveMetadataNew']
21,UserFlowManagement,PublishSuccess,xpath,"//*[@class='slds-box slds-theme_shade slds-m-bottom_medium']//div[contains(text(),'Publish succeeded.')]"
22,UserFlowManagement,CustomMetaData,xpath,//*[text()='Custom Metadata Types']
23,UserFlowManagement,ManageScreenConfig,xpath,//*[@title= 'Manage Screen Configurations']
24,UserFlowManagement,FieldState,xpath,//*[@id='00N4100000Y6O12']
25,UserFlowManagement,ClickOnSave,xpath,//*[@title='$$$Value$$$']
"-EOF-				",,,,
